label,area,diameter,eccentricity,solidity,mean_intensity
759,1.0,1.1283791670955126,0.0,1.0,0.6528459273797841
760,60.0,8.740387444736633,0.4963025521953991,0.8955223880597015,0.7807307000327118
761,111.0,11.888212206450685,0.7402911192191712,0.888,0.7763932357283683
762,77.0,9.901487006738307,0.8397636144746593,0.8953488372093024,0.6971868906363508
763,38.0,6.955796338302048,0.9429127368994671,0.95,0.8648410464335519
764,118.0,12.257335203001883,0.592415811962049,0.8740740740740741,0.874105449842817
765,176.0,14.96964127403822,0.2709677310915556,0.8186046511627907,0.8232140467481489
766,43.0,7.399277020331919,0.6749762567992211,0.9148936170212766,0.8122375447885524
767,87.0,10.524820207108489,0.8702837808496534,0.8207547169811321,0.9252380066100412
768,110.0,11.834540545406394,0.7355319017150296,0.9482758620689655,0.8289170532607727
769,4.0,2.256758334191025,0.0,1.0,0.6564800049067714
770,7.0,2.985410660720923,1.0,1.0,0.7822707836814805
771,39.0,7.046725639945928,0.7368858155871265,0.9069767441860465,0.7444625827231323
772,97.0,11.11324596323283,0.9357114513157317,0.9065420560747663,0.9035762522383981
773,65.0,9.09728368293446,0.8469864313034026,0.9285714285714286,0.6837604740696007
774,322.0,20.248040236149336,0.6193934610350732,0.9121813031161473,0.8914931137578554
775,10.0,3.5682482323055424,0.9354143466934853,1.0,0.7311825318940137
776,48.0,7.817640190446719,0.3858977904083846,0.9411764705882353,0.7751548699705594
777,28.0,5.970821321441846,0.9540850451075075,0.875,0.8196542478620495
778,40.0,7.136496464611085,0.8828414977839242,0.9302325581395349,0.6930262512266928
779,19.0,4.918490759365935,0.9734313932988269,0.8260869565217391,0.7570308868343577
780,96.0,11.055812783082736,0.9171038924485811,0.8347826086956521,0.8211079336359175
781,236.0,17.334489682638438,0.8575232766099055,0.8581818181818182,0.8055660667653566
782,67.0,9.23618154310838,0.4082564908745166,0.9436619718309859,0.7304745287302448
783,186.0,15.389040103942165,0.7293282074276488,0.9073170731707317,0.7307692815009444
784,39.0,7.046725639945928,0.9763761097924771,0.975,0.8274310535718777
785,33.0,6.4820448144285745,0.7645300890005939,0.9428571428571428,0.8375059476016296
786,9.0,3.385137501286538,0.0,1.0,0.6802556973067279
787,132.0,12.964089628857149,0.5055336856267164,0.9428571428571428,0.835988379873316
788,49.0,7.898654169668588,0.7515653396429618,0.9074074074074074,0.8101254731529511
789,8.0,3.1915382432114616,0.7071067811865476,0.8,0.6645455103042199
